Employee_ID,Name,Age,Salary,City,Department,Experience_Years,Performance_Score,Bonus,Work_Hours
1502.0,Priya,47.0,122481.0,???,Unknown123,,,,6.0
7910.0,Rahul,48.0,24519.0,Mumbai,HR,12.0,2.0,,
,Rahul,55.0,133268.0,Mumbai,Marketing,17.0,6.0,45139.0,9.0
5488.0,Pooja,29.0,141804.0,Delhi,HR,24.0,8.0,5194.0,10.0
1206.0,Rahul,36.0,85130.0,Bangalore,Sales,23.0,2.0,,
6134.0,Akash,40.0,74469.0,Pune,Sales,6.0,4.0,14775.0,
6977.0,,58.0,75672.0,Chennai,IT,0.0,6.0,30601.0,4.0
8721.0,Rohan,27.0,126255.0,Chennai,,4.0,,,8.0
8035.0,Sneha,32.0,96561.0,Chennai,Marketing,15.0,2.0,6954.0,9.0
2484.0,Aman,34.0,62409.0,Kolkata,IT,16.0,8.0,13558.0,6.0
8858.0,Rohan,30.0,22685.0,,HR,4.0,8.0,16020.0,10.0
1863.0,Karan,41.0,51312.0,Mumbai,,15.0,2.0,,4.0
3790.0,Rahul,33.0,87585.0,Pune,IT,1.0,8.0,17089.0,7.0
,Priya,56.0,86001.0,,HR,19.0,3.0,33731.0,9.0
9755.0,Aman,55.0,,Chennai,Marketing,23.0,1.0,45657.0,10.0
6116.0,Sneha,47.0,71319.0,Delhi,Marketing,17.0,7.0,8550.0,4.0
7019.0,Akash,32.0,92970.0,Pune,IT,13.0,3.0,36252.0,
2757.0,Rohan,21.0,51286.0,Bangalore,IT,14.0,6.0,33528.0,8.0
8574.0,Sneha,27.0,83745.0,Kolkata,Marketing,0.0,5.0,25526.0,9.0
7374.0,Priya,57.0,109729.0,Kolkata,,16.0,4.0,,
7892.0,Rahul,49.0,28504.0,Chennai,Sales,,4.0,37335.0,
,Akash,38.0,,Kolkata,IT,23.0,3.0,48791.0,8.0
4242.0,Pooja,46.0,20360.0,Kolkata,HR,18.0,5.0,19549.0,9.0
5636.0,Akash,47.0,,Kolkata,Finance,3.0,7.0,42119.0,5.0
2059.0,Rohan,,85423.0,Mumbai,Marketing,5.0,1.0,13353.0,4.0
7668.0,Karan,59.0,,Bangalore,Sales,16.0,4.0,13278.0,8.0
4157.0,Priya,46.0,110384.0,Mumbai,Finance,22.0,2.0,49141.0,9.0
6915.0,Rahul,27.0,63241.0,Kolkata,HR,1.0,1.0,38509.0,11.0
3693.0,Rahul,39.0,84565.0,Mumbai,,14.0,1.0,12898.0,4.0
4627.0,,34.0,64176.0,Bangalore,IT,14.0,2.0,19895.0,5.0
6450.0,Rahul,35.0,45338.0,Chennai,Sales,18.0,1.0,6468.0,6.0
2663.0,Rohan,22.0,37157.0,Kolkata,IT,15.0,9.0,23532.0,
6592.0,Sneha,56.0,103808.0,Pune,IT,20.0,2.0,12705.0,9.0
8392.0,Sneha,34.0,87468.0,Delhi,Marketing,23.0,9.0,14441.0,4.0
2306.0,Sneha,51.0,116389.0,Mumbai,HR,21.0,2.0,20988.0,5.0
7776.0,Rohan,21.0,122233.0,Kolkata,IT,15.0,3.0,28151.0,5.0
6864.0,Pooja,58.0,145394.0,Kolkata,Sales,4.0,1.0,25971.0,4.0
8526.0,Pooja,25.0,33029.0,Mumbai,IT,15.0,8.0,15484.0,5.0
9901.0,Priya,43.0,75442.0,Pune,Sales,19.0,4.0,17675.0,
6575.0,Karan,42.0,87819.0,Kolkata,,20.0,7.0,,8.0
,Aman,53.0,30172.0,,HR,,7.0,10821.0,5.0
5413.0,Rohan,56.0,,???,Unknown123,0.0,4.0,12915.0,8.0
4748.0,Rahul,28.0,111861.0,Delhi,Sales,16.0,8.0,22767.0,8.0
,,20.0,59306.0,Pune,Finance,3.0,8.0,44926.0,7.0
2998.0,Sneha,57.0,71925.0,Chennai,,2.0,8.0,30396.0,11.0
8994.0,Priya,45.0,132095.0,Chennai,IT,15.0,2.0,22105.0,6.0
2495.0,Rahul,56.0,149542.0,Delhi,Finance,14.0,8.0,19544.0,7.0
4304.0,Rohan,42.0,144373.0,Kolkata,Marketing,3.0,6.0,42963.0,10.0
4763.0,Sneha,39.0,57637.0,Kolkata,HR,2.0,3.0,47115.0,8.0
6232.0,,30.0,148765.0,Kolkata,Finance,7.0,6.0,6996.0,8.0
2853.0,Karan,21.0,63662.0,Delhi,IT,10.0,4.0,33028.0,9.0
,Pooja,45.0,134981.0,Mumbai,Sales,2.0,8.0,,
2291.0,Rahul,36.0,90056.0,Mumbai,,14.0,7.0,48733.0,10.0
4581.0,Sneha,20.0,67094.0,Kolkata,IT,24.0,1.0,32803.0,7.0
8554.0,Aman,44.0,71383.0,Pune,IT,9.0,3.0,,11.0
8280.0,Akash,28.0,53553.0,Mumbai,Marketing,3.0,3.0,13765.0,9.0
2636.0,Akash,23.0,79554.0,Mumbai,IT,21.0,8.0,49882.0,
4696.0,Sneha,48.0,126977.0,???,Unknown123,1.0,3.0,6852.0,7.0
1698.0,,46.0,53068.0,Mumbai,Sales,2.0,1.0,42161.0,9.0
5737.0,Sneha,25.0,63391.0,,Finance,22.0,7.0,41163.0,7.0
1854.0,Karan,28.0,21180.0,Delhi,IT,20.0,1.0,10346.0,9.0
9164.0,Akash,26.0,,Chennai,Sales,21.0,1.0,,8.0
6855.0,Sneha,48.0,20324.0,Bangalore,HR,,9.0,6065.0,8.0
8392.0,Sneha,18.0,75127.0,Kolkata,,24.0,9.0,12016.0,8.0
7528.0,Aman,24.0,60189.0,Kolkata,Finance,0.0,4.0,15507.0,4.0
6249.0,Sneha,27.0,26687.0,Chennai,,22.0,7.0,,8.0
6172.0,Karan,26.0,120957.0,Kolkata,Sales,9.0,4.0,38435.0,6.0
2707.0,Aman,30.0,51492.0,Bangalore,Sales,0.0,2.0,19204.0,4.0
6791.0,Rahul,44.0,81611.0,Chennai,HR,20.0,1.0,29021.0,
6535.0,Aman,35.0,38017.0,Mumbai,Finance,16.0,4.0,34213.0,10.0
,Akash,33.0,23633.0,Bangalore,Marketing,13.0,1.0,22303.0,5.0
4510.0,Rahul,21.0,144137.0,Pune,HR,7.0,7.0,10856.0,11.0
1202.0,Karan,47.0,36209.0,Pune,IT,10.0,4.0,45335.0,8.0
5218.0,Sneha,55.0,123421.0,Chennai,Marketing,,8.0,48882.0,4.0
9958.0,Akash,37.0,25603.0,Chennai,IT,1.0,3.0,5440.0,10.0
5389.0,,58.0,47897.0,Chennai,IT,2.0,4.0,5037.0,10.0
3327.0,Aman,,65076.0,Delhi,Sales,4.0,6.0,5750.0,
9004.0,Priya,45.0,67509.0,Delhi,IT,10.0,1.0,,11.0
3931.0,Rohan,18.0,,Mumbai,Finance,22.0,4.0,44199.0,11.0
8777.0,Karan,26.0,91334.0,Chennai,Finance,13.0,1.0,33308.0,11.0
1197.0,Karan,59.0,73111.0,Delhi,Sales,14.0,7.0,45869.0,
8125.0,Sneha,50.0,75380.0,Kolkata,IT,,,49126.0,9.0
,Pooja,18.0,121218.0,Mumbai,Sales,7.0,6.0,12731.0,
7287.0,Rohan,59.0,108836.0,Pune,Sales,21.0,5.0,,11.0
9800.0,Rahul,26.0,29376.0,Bangalore,IT,14.0,2.0,17125.0,
5282.0,Akash,39.0,52454.0,,HR,17.0,8.0,35256.0,5.0
,Pooja,26.0,73483.0,Bangalore,Finance,8.0,3.0,23123.0,11.0
,Rohan,22.0,56631.0,Bangalore,Marketing,14.0,9.0,7359.0,6.0
3811.0,Rahul,19.0,32405.0,Bangalore,Marketing,10.0,1.0,6069.0,8.0
8098.0,,31.0,91663.0,Delhi,Sales,6.0,4.0,47243.0,11.0
7546.0,Rohan,29.0,,Mumbai,HR,22.0,1.0,,7.0
2986.0,Akash,46.0,,Mumbai,IT,24.0,6.0,20787.0,7.0
,Pooja,33.0,53318.0,,Sales,7.0,3.0,43986.0,4.0
3911.0,Priya,26.0,62567.0,,IT,8.0,6.0,21431.0,
,Karan,105.0,1340325.0,Kolkata,Finance,7.0,5.0,293398.0,11.0
2843.0,Pooja,41.0,102757.0,Chennai,Sales,12.0,5.0,13441.0,6.0
9680.0,Priya,37.0,34852.0,Pune,Finance,21.0,7.0,23175.0,4.0
3976.0,Rohan,37.0,43766.0,Pune,Marketing,2.0,8.0,27974.0,8.0
2959.0,Priya,59.0,143519.0,Pune,Sales,12.0,3.0,41483.0,4.0
6759.0,Rahul,22.0,93135.0,Pune,HR,19.0,6.0,7614.0,
7694.0,Sneha,37.0,134963.0,Pune,HR,4.0,8.0,29054.0,
3385.0,Akash,33.0,30315.0,Kolkata,Sales,23.0,2.0,9695.0,
5736.0,Aman,36.0,68617.0,,Sales,12.0,9.0,,11.0
2802.0,Akash,29.0,42251.0,Mumbai,Sales,5.0,3.0,15715.0,9.0
9155.0,Aman,34.0,23860.0,Mumbai,HR,9.0,1.0,16665.0,6.0
,Pooja,51.0,55797.0,Delhi,IT,,2.0,33259.0,
,Priya,44.0,55467.0,Mumbai,,2.0,1.0,,8.0
6534.0,Rahul,58.0,48609.0,Delhi,Marketing,10.0,1.0,46020.0,10.0
5061.0,Aman,43.0,60221.0,Delhi,,7.0,5.0,5694.0,5.0
1262.0,Karan,51.0,43814.0,Chennai,HR,17.0,9.0,9402.0,4.0
7287.0,Pooja,38.0,31364.0,Pune,IT,12.0,7.0,22703.0,5.0
9815.0,Pooja,59.0,149081.0,Chennai,Sales,2.0,6.0,35784.0,
,Priya,58.0,114225.0,Pune,Marketing,17.0,4.0,44844.0,5.0
6423.0,Aman,20.0,55259.0,Delhi,Finance,18.0,7.0,42513.0,6.0
5548.0,Rohan,58.0,113457.0,Delhi,HR,2.0,8.0,26660.0,7.0
4108.0,Akash,53.0,23547.0,Mumbai,Marketing,15.0,7.0,30110.0,5.0
8158.0,Sneha,46.0,71887.0,Bangalore,,7.0,8.0,13974.0,
8400.0,Sneha,36.0,77889.0,Pune,Sales,19.0,5.0,,7.0
4170.0,Pooja,38.0,136679.0,Bangalore,Sales,7.0,6.0,11448.0,11.0
3255.0,Rahul,29.0,135666.0,Delhi,IT,3.0,4.0,47821.0,8.0
2154.0,Priya,125.0,1148103.0,Pune,Finance,19.0,9.0,489864.0,8.0
,Rahul,45.0,34198.0,Delhi,Finance,10.0,8.0,5446.0,9.0
7295.0,Akash,29.0,105877.0,Mumbai,,1.0,6.0,34665.0,
7197.0,Sneha,123.0,1596318.0,Delhi,Marketing,,1.0,217543.0,7.0
2648.0,Aman,47.0,72027.0,Bangalore,IT,21.0,1.0,14647.0,9.0
6539.0,Pooja,29.0,68838.0,Bangalore,Finance,17.0,2.0,46405.0,
5199.0,Aman,56.0,141811.0,Mumbai,HR,23.0,5.0,35897.0,9.0
9445.0,Rahul,56.0,129463.0,Mumbai,IT,9.0,5.0,23393.0,6.0
3557.0,Aman,35.0,143100.0,Delhi,Sales,3.0,5.0,24407.0,7.0
6592.0,Aman,,37115.0,Delhi,,12.0,9.0,46551.0,9.0
1098.0,Karan,29.0,135140.0,Bangalore,,6.0,6.0,47985.0,10.0
3200.0,Karan,35.0,81584.0,Mumbai,IT,,7.0,10212.0,11.0
3961.0,Aman,23.0,115994.0,Bangalore,Finance,6.0,9.0,32113.0,6.0
5973.0,Pooja,25.0,54275.0,Kolkata,Marketing,21.0,8.0,7801.0,
5433.0,Rohan,32.0,137053.0,Mumbai,Sales,10.0,8.0,41788.0,7.0
3869.0,Pooja,24.0,57664.0,Chennai,HR,11.0,9.0,9670.0,9.0
1956.0,Karan,46.0,124829.0,Chennai,Finance,21.0,6.0,27915.0,6.0
,,42.0,28381.0,Chennai,HR,22.0,5.0,13156.0,11.0
6699.0,Pooja,,51237.0,Kolkata,IT,18.0,8.0,,11.0
7944.0,Priya,49.0,49029.0,Mumbai,Finance,23.0,3.0,18065.0,4.0
,Pooja,29.0,,Pune,HR,,5.0,10341.0,11.0
,Pooja,42.0,,Chennai,HR,5.0,1.0,37035.0,7.0
4987.0,Sneha,36.0,,,Finance,3.0,5.0,48998.0,7.0
7015.0,Pooja,59.0,44842.0,Bangalore,Marketing,5.0,,8572.0,4.0
2218.0,Karan,33.0,,Chennai,Marketing,22.0,8.0,19962.0,7.0
5496.0,Pooja,29.0,149453.0,Bangalore,Finance,10.0,8.0,11633.0,7.0
,Akash,52.0,31395.0,Delhi,Marketing,18.0,6.0,11489.0,
5555.0,Aman,53.0,50342.0,???,Unknown123,22.0,4.0,17354.0,8.0
9050.0,Rahul,41.0,93497.0,Mumbai,Finance,14.0,5.0,12284.0,5.0
,Aman,50.0,84617.0,,Marketing,20.0,8.0,5433.0,9.0
2045.0,,53.0,40064.0,Delhi,HR,12.0,6.0,18368.0,7.0
7893.0,Aman,21.0,143388.0,,Sales,7.0,8.0,45828.0,
2693.0,Rohan,52.0,146696.0,Bangalore,Finance,5.0,3.0,44369.0,
4436.0,Pooja,25.0,,Kolkata,Sales,6.0,1.0,35690.0,6.0
,Akash,25.0,107074.0,Kolkata,HR,12.0,9.0,44242.0,11.0
6895.0,Priya,24.0,119995.0,Chennai,HR,22.0,2.0,44007.0,
4354.0,,57.0,55573.0,Kolkata,Sales,2.0,4.0,48301.0,7.0
1225.0,Rohan,42.0,29512.0,Mumbai,Finance,7.0,9.0,,
5893.0,,52.0,94929.0,Bangalore,IT,6.0,,41927.0,11.0
8022.0,Priya,32.0,,Kolkata,HR,9.0,2.0,33023.0,6.0
6600.0,Sneha,35.0,52806.0,Pune,Finance,3.0,8.0,33992.0,6.0
8996.0,,28.0,118639.0,Bangalore,IT,20.0,7.0,47652.0,5.0
8683.0,Priya,47.0,137769.0,Chennai,IT,4.0,1.0,,6.0
5642.0,Karan,46.0,33894.0,Delhi,HR,4.0,2.0,,4.0
8679.0,Pooja,40.0,98086.0,,Marketing,17.0,3.0,8541.0,
,Priya,51.0,75576.0,Delhi,HR,7.0,,45251.0,6.0
8339.0,Pooja,36.0,78820.0,Kolkata,,23.0,3.0,47642.0,6.0
3205.0,Sneha,33.0,121593.0,Pune,HR,14.0,1.0,38307.0,
2069.0,,23.0,33213.0,Pune,Sales,5.0,5.0,6223.0,9.0
,Karan,58.0,31786.0,???,Unknown123,2.0,8.0,11640.0,
2060.0,Pooja,32.0,105702.0,Mumbai,HR,8.0,7.0,,4.0
3327.0,Akash,26.0,144710.0,Pune,IT,0.0,2.0,16142.0,9.0
4420.0,Priya,46.0,96697.0,Mumbai,HR,18.0,,11693.0,6.0
1301.0,Akash,59.0,97752.0,Kolkata,Marketing,1.0,1.0,28284.0,7.0
1606.0,Pooja,19.0,78038.0,Mumbai,Marketing,1.0,6.0,38761.0,8.0
,Akash,50.0,20995.0,Mumbai,HR,16.0,3.0,31588.0,9.0
1699.0,Pooja,55.0,22453.0,Kolkata,Sales,5.0,5.0,30147.0,
,,40.0,142635.0,Bangalore,HR,7.0,3.0,36795.0,10.0
1190.0,Priya,30.0,55903.0,Bangalore,IT,4.0,7.0,33477.0,4.0
1980.0,Karan,37.0,31605.0,Delhi,IT,5.0,8.0,10434.0,11.0
,Akash,24.0,,Chennai,Finance,15.0,3.0,33711.0,7.0
7102.0,Sneha,34.0,57307.0,Bangalore,Marketing,13.0,9.0,25075.0,10.0
2184.0,Rohan,38.0,43741.0,Bangalore,IT,8.0,1.0,48493.0,7.0
,Karan,45.0,25939.0,Chennai,HR,8.0,1.0,22384.0,7.0
4394.0,Sneha,47.0,57607.0,Delhi,HR,,9.0,9221.0,8.0
9319.0,,40.0,55389.0,Mumbai,Sales,1.0,1.0,29159.0,5.0
2816.0,Pooja,38.0,86251.0,Chennai,IT,21.0,1.0,38962.0,7.0
6854.0,Rohan,18.0,138208.0,,HR,8.0,,13726.0,6.0
7709.0,Karan,34.0,94638.0,Kolkata,Sales,,3.0,46130.0,11.0
1569.0,Priya,49.0,,Delhi,HR,22.0,3.0,19098.0,5.0
,Rohan,41.0,55846.0,Bangalore,IT,5.0,7.0,48598.0,7.0
2895.0,Sneha,24.0,115542.0,Mumbai,HR,8.0,8.0,41698.0,10.0
3733.0,Karan,52.0,35077.0,Mumbai,Finance,0.0,,9565.0,6.0
,Pooja,53.0,34628.0,Delhi,Marketing,,1.0,23945.0,10.0
8455.0,Rahul,31.0,,,Finance,14.0,8.0,21134.0,
5014.0,Karan,29.0,54773.0,Chennai,Marketing,11.0,9.0,39436.0,
2686.0,Rohan,56.0,84096.0,Mumbai,HR,12.0,3.0,34319.0,5.0
4009.0,Karan,40.0,122304.0,Pune,,,,19840.0,10.0
8806.0,Akash,31.0,86332.0,Mumbai,Marketing,21.0,4.0,13888.0,
1154.0,Karan,42.0,96138.0,,Finance,19.0,8.0,32415.0,7.0
2409.0,Priya,39.0,117426.0,Mumbai,IT,24.0,7.0,8664.0,5.0
,Akash,54.0,31076.0,Kolkata,Marketing,20.0,8.0,27657.0,8.0
9096.0,,46.0,110765.0,Delhi,Marketing,12.0,4.0,24389.0,11.0
8560.0,Pooja,25.0,87310.0,Kolkata,,21.0,6.0,47266.0,10.0
,Akash,28.0,,Bangalore,HR,,4.0,21025.0,9.0
8206.0,Priya,47.0,25252.0,Chennai,HR,17.0,4.0,19959.0,
6596.0,Priya,39.0,97474.0,Chennai,Marketing,23.0,8.0,11738.0,10.0
6801.0,Aman,32.0,88476.0,Kolkata,HR,14.0,1.0,,
3806.0,Rahul,38.0,81524.0,Delhi,Marketing,13.0,3.0,32986.0,8.0
1537.0,Pooja,42.0,128141.0,Bangalore,Sales,21.0,2.0,,11.0
6986.0,Karan,30.0,50954.0,,HR,16.0,7.0,31663.0,7.0
2841.0,Akash,24.0,66491.0,,Marketing,0.0,9.0,47712.0,10.0
9716.0,Sneha,35.0,38988.0,Mumbai,IT,,7.0,,5.0
7971.0,Akash,29.0,,Kolkata,Marketing,5.0,6.0,8814.0,5.0
6625.0,Karan,43.0,27279.0,Delhi,Finance,16.0,6.0,26281.0,9.0
3950.0,Pooja,22.0,102693.0,Pune,Marketing,9.0,4.0,10484.0,
,Priya,25.0,117310.0,Mumbai,Finance,22.0,3.0,19534.0,11.0
5780.0,Priya,,148927.0,Kolkata,Marketing,15.0,,9988.0,4.0
3368.0,Karan,22.0,118378.0,Bangalore,HR,,6.0,28482.0,
7655.0,Karan,39.0,71386.0,Bangalore,Finance,,6.0,32793.0,8.0
9173.0,,,76845.0,,HR,11.0,8.0,38709.0,8.0
5495.0,Akash,25.0,,Delhi,IT,4.0,2.0,,6.0
7002.0,Akash,36.0,30470.0,,Marketing,21.0,9.0,,7.0
7614.0,Priya,51.0,115674.0,Bangalore,Finance,12.0,9.0,6870.0,
,Sneha,23.0,31136.0,,Sales,10.0,1.0,28359.0,9.0
1853.0,Sneha,34.0,94038.0,Delhi,HR,3.0,3.0,34903.0,11.0
5146.0,Akash,34.0,81214.0,Chennai,HR,10.0,6.0,,8.0
4769.0,Rahul,32.0,104538.0,Bangalore,Sales,8.0,1.0,11281.0,10.0
1574.0,Aman,56.0,,Bangalore,Marketing,12.0,4.0,36534.0,6.0
2148.0,Priya,54.0,,Bangalore,IT,17.0,5.0,11861.0,9.0
7293.0,Priya,48.0,99970.0,Delhi,Sales,4.0,,37078.0,4.0
7457.0,Akash,39.0,110590.0,Pune,HR,23.0,5.0,7473.0,8.0
